5456789,3767890,22163.95
6789012,9545678,16750.37
1878901,4345678,60211.90
4456789,3456789,81939.04
8323456,7789012,82543.70
1123456,4567890,9731.99
3090123,5821621,20441.97
7090123,3656789,56371.62
6434567,9323456,60418.50
9012345,7101234,56469.98
1656789,5434567,67699.72
3234567,4090123,81279.80
5821621,1234567,33061.71
2345678,1656789,76796.80
9012345,4567890,65245.63
7101234,2767890,11514.31
7656789,2545678,56656.81
8789012,7656789,19494.19
2090123,4878901,73930.43
2090123,1234567,88715.79
4878901,9012345,63364.83
8789012,3090123,92937.58
1323456,8901234,78440.01
3989012,5878901,92624.86
5090123,8767890,62194.19
9323456,4323456,53107.26
9545678,7090123,12375.54
5090123,1767890,83981.47
9901234,4090123,75174.11
7434567,9323456,11846.65
1323456,5212345,40931.20
1434567,2090123,5243.93
7434567,5878901,62577.09
2989012,2101234,14850.39
5101234,9890123,71425.36
5878901,9212345,57491.33
3234567,2545678,73539.60
6212345,1989012,48661.56
4567890,7824621,55876.51
4989012,8434567,30553.61
1434567,6678901,32116.12
8789012,6212345,70372.24
3656789,1123456,40530.06
3090123,8890123,13282.58
4090123,7890123,12067.64
9901234,8434567,27111.13
9434567,9890123,50870.64
4212345,4101234,62957.70
9878901,2434567,42281.59
1434567,6789012,14033.52
7678901,9656789,26943.97
7678901,5989012,30874.88
2878901,8789012,11668.60
5212345,5434567,82329.85
4090123,5567890,1255.55
3878901,3345678,18222.23
8434567,7090123,26694.88
8789012,8767890,63942.60
8890123,1090123,24617.71
8101234,4456789,13380.18
3878901,2345678,68488.25
2101234,8890123,94804.56
3878901,6545678,60284.39
4090123,8890123,2992.91
1656789,7656789,89835.93
5567890,4989012,19092.87
7101234,3090123,30070.34
9901234,3090123,56321.77
5434567,1123456,40985.41
4090123,1323456,11001.52
1767890,4101234,90900.70
3767890,2123456,36228.30
2101234,8101234,4452.92
8323456,1123456,50313.66
9890123,8101234,27991.32
8901234,1878901,66667.36
4567890,9012345,82249.99
2090123,5821621,46156.36
3345678,4456789,87861.38
8767890,3212345,15741.95
2545678,2345678,50294.24
5678901,2090123,11051.49
7545678,7323456,89806.50
3878901,5456789,95436.78
8434567,5678901,93711.92
6434567,8901234,95729.82
2234567,3101234,46717.25
4567890,2545678,48811.66
1545678,4090123,78484.02
8101234,2101234,20590.73
5567890,8890123,53894.36
3101234,7656789,85422.52
5323456,3656789,84946.13
1983202,2090123,99662.24
6212345,9767890,6957.57
1878901,3101234,4303.29
9656789,3656789,66947.14
7545678,2123456,54900.66
3101234,5878901,35499.35
1878901,5101234,9176.19
6323456,7789012,24857.68
5090123,8323456,68643.73
8212345,8323456,85253.92
9890123,5567890,51742.74
3767890,9212345,7874.84
5456789,5567890,59425.09
3878901,6678901,11333.51
8545678,9212345,36878.78
3101234,1434567,90403.62
7090123,8789012,95194.67
7212345,1545678,93365.80
5434567,5567890,97992.43
3234567,1989012,51068.20
3101234,4456789,91800.05
4212345,8545678,45780.39
9012345,7323456,42524.93
7212345,2123456,21717.11
9545678,6434567,18280.07
1989012,8545678,6113.36
8545678,7101234,20155.12
9878901,5821621,2457.52
8323456,1012345,57459.95
6101234,4323456,54313.94
5101234,7101234,16168.69
1545678,9545678,1561.92
5456789,2434567,53155.45
4878901,8789012,20249.55
6678901,2101234,10185.08
3656789,4767890,54829.56
9212345,6434567,83936.62
4567890,5567890,88364.06
1090123,6323456,36810.06
4090123,9434567,37520.63
7890123,7678901,67455.26
4323456,5678901,47391.07
4456789,3767890,58580.71
4345678,8901234,21354.37
1012345,8901234,95536.68
7789012,8767890,96408.72
5434567,5456789,40082.38
6101234,5434567,69517.70
7678901,5567890,38477.65
2767890,8323456,20976.38
9656789,9901234,32223.69
9545678,5989012,79876.99
1989012,7789012,5855.08
4101234,7212345,5746.32
9656789,5989012,66206.21
9878901,1012345,99075.86
5101234,1434567,26948.80
2101234,7789012,25084.11
3656789,9890123,47051.12
4101234,7101234,37252.86
1989012,1545678,98609.21
6090123,9901234,12120.26
4567890,1878901,82150.51
2345678,9901234,79740.92
9901234,4456789,73711.24
6090123,4567890,56390.77
8101234,2090123,40342.64
1656789,5090123,91520.84
2101234,7212345,28907.56
7824621,5101234,29257.91
4090123,8212345,11678.32
2090123,3989012,23980.03
7434567,1767890,25916.78
5878901,5212345,46870.26
1545678,8890123,62915.65
3878901,3234567,31729.08
2989012,6090123,3334.23
6989012,2090123,76309.95
2878901,7323456,8830.96
7323456,1090123,70452.07
3212345,2878901,93138.61
9878901,3767890,94148.49
5821621,2101234,13017.40
9545678,3878901,49502.44
3234567,3989012,74938.38
4345678,4456789,20915.41
2345678,5567890,33969.17
4989012,5989012,64402.95
9323456,4101234,52663.78
4323456,9012345,17594.02
9323456,4090123,43097.50
4456789,9767890,56841.88
3456789,8789012,82057.00
5090123,5323456,49146.98
6101234,3656789,2333.74
1989012,5323456,56649.41
2434567,5101234,47526.43
9545678,9901234,90324.71
4345678,9323456,81357.92
3345678,8890123,16587.83
9890123,2434567,64597.93
